CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ
85903.12361,98016.41995,105807.6748,101726.874,114108.4004,97335.87206,58599.6033,67080.23839,0.55167952,13.694324,247.161581,0.005146959,0.004075185,0.004889148
85919.36145,98038.58623,105842.279,101755.6099,114138.2563,97354.33038,58616.54153,67089.59504,0.53995984,13.694324,247.0744158,0.007248517,0.003576163,0.006551253
85925.56575,98024.93752,105832.4121,101744.2912,114122.5367,97290.60482,58661.32502,67137.84726,0.66008656,13.38863568,247.111284,0.006825178,0.003930654,0.005625962
85907.76196,97982.93354,105788.9826,101696.9644,114085.7728,97267.50072,58697.42868,67160.99021,0.69548976,13.25923088,247.1547445,0.004955065,0.003313468,0.004918933
85887.09017,97961.36309,105778.9578,101680.5662,114057.884,97223.47383,58717.85899,67168.30873,0.65410464,13.42245184,247.1720798,0.004917956,0.00376708,0.005406724
85813.44977,97821.69399,105628.8172,101527.8104,113922.4174,97182.18094,58729.44588,67154.35439,0.59892448,13.64659072,247.183067,0.005294908,0.003401847,0.0051411
85700.89661,97701.55651,105515.52,101410.3762,113793.2794,97045.68231,58713.41136,67116.45541,0.5627888,13.65562464,247.2450837,0.005356432,0.003587881,0.005615708
85615.48126,97604.55539,105425.3862,101315.7999,113706.5665,97009.53627,58689.75607,67053.81841,0.55009248,13.65074144,247.1874619,0.00457323,0.003691397,0.005088366
85554.7853,97539.5551,105367.8743,101253.5452,113633.2883,96913.60701,58663.39445,67018.03497,0.56291088,13.72777392,247.1465651,0.005470689,0.003591299,0.005819809
85459.6416,97420.50921,105255.6798,101140.0245,113525.2377,96833.7245,58640.52569,66960.35866,0.55167952,13.76439792,247.1973504,0.00549022,0.003754385,0.005795395
85429.12994,97425.89028,105274.9205,101150.4532,113519.2553,96791.99183,58607.3811,66942.0672,0.55839392,13.80089984,247.169272,0.004570789,0.003834951,0.006204574
85383.26229,97357.89364,105203.374,101076.9485,113463.0482,96801.8529,58594.41003,66929.97346,0.73394496,13.78502944,247.1092086,0.005479966,0.003559561,0.005698716
85353.15998,97340.99871,105207.611,101072.8949,113437.3174,96743.29203,58579.97173,66911.92281,0.57084608,13.76366544,247.1374091,0.006482405,0.003595206,0.005914047
85359.00416,97345.64085,105214.5722,101079.7332,113459.0762,96766.83912,58598.09092,66923.21342,0.6250496,13.63377232,247.0614754,0.006622053,0.00382958,0.005613267
85321.70962,97287.49746,105162.1275,101021.0871,113387.969,96676.20515,58621.42467,66942.06571,0.60771424,13.48153856,247.1730565,0.00643553,0.003350089,0.005763169
